token,kind
ARB,protocol
ETH,blue chip
AVAX,protocol
QI,alt
BTC,blue chip
stable,stable
ADA,blue chip
SNEK,meme
INDY,alt
LVN,alt
NLS,alt
LAB,alt
STRD,protocol
FTM,protocol
POLTER,alt
ONE,protocol
LINK,protocol
KUJI,protocol
PAXG,blue chip
BNB,blue chip
LUNA,protocol
NSTK,alt
ASTRO,alt
STARS,protocol
ROAR,alt
AQLA,alt
FUZN,alt
WINK,alt
MNTA,alt
OSMO,protocol
ATOM,protocol
DOT,protocol
INJ,protocol
LOCAL,alt
NTRN,alt
stOSMO,lsd
PLNK,alt
SILK,stable
SNX,alt
GRAIN,alt
LDO,protocol
OP,protocol
WHALE,protocol
CAPA,alt
SUN,alt
TRX,protocol
GMX,alt
GLP,alt
