Token	Blockchain	invested	value	gain/loss	ROI	in protocol	date
GMX	Arbitrum	$933.00	$474.41	-$458.59	-49.15%	GMX	2024-04-10
GLP	Arbitrum	$1,885.00	$2,616.22	$731.22	38.79%	GMX	2024-04-10
ARB	Arbitrum	$1.00	$9.28	$8.28	828.26%	Arbitrage	2024-04-10
ETH	Arbitrum	$9.00	$235.84	$226.84	2520.41%	Arbitrage	2024-04-10
AVAX	Avalanche	$27,202.57	$30,112.20	$2,909.63	10.70%	Benqi	2024-04-10
AVAX	Avalanche	$488.70	$474.80	-$13.90	-2.84%	GMX	2024-04-10
GMX	Avalanche	$3,644.11	$3,612.47	-$31.64	-0.87%	GMX	2024-04-10
GLP	Avalanche	$3,644.11	$5,427.57	$1,783.46	48.94%	GMX	2024-04-10
QI	Avalanche	$2,109.86	$1,996.13	-$113.73	-5.39%	Arbitrage	2024-04-10
BTC	Cardano	$409.29	$851.77	$442.48	108.11%	Indigo	2024-04-10
ETH	Cardano	$1,256.29	$2,426.25	$1,169.95	93.13%	Indigo	2024-04-10
stable	Cardano	$2,079.73	$2,195.45	$115.72	5.56%	Indigo	2024-04-10
ADA	Cardano	$445.78	$977.74	$531.96	119.33%	Arbitrage	2024-04-10
SNEK	Cardano	$274.49	$336.41	$61.92	22.56%	Arbitrage	2024-04-10
ATOM	Kujira	$428.64	$559.793	$131.153	30.60%	FIN	2024-04-10
ATOM	Kujira	$7.23	$9.442	$2.212	30.60%	Ghost	2024-04-10
ATOM	Kujira	$4,347.76	$5,678.06	$1,330.30	30.60%	BLUE	2024-04-10
BNB	Kujira	$567.88	$419.026	-$148.857	-26.21%	FIN	2024-04-10
BNB	Kujira	$16.98	$12.531	-$4.451	-26.21%	Ghost	2024-04-10
BTC	Kujira		-$1,624.532	-$1,624.532	0.00%	BLUE	2024-04-10
DOT	Kujira	$1.77	$2.480	$0.711	40.19%	Ghost	2024-04-10
FTM	Kujira	$175.189	$183.165	$7.976	4.55%	FIN	2024-04-10
FTM	Kujira	$3,504.903	$3,664.469	$159.565	4.55%	BLUE	2024-04-10
FUZN	Kujira	$20.00	$17.500	-$2.500	-12.50%	Fuzion	2024-04-10
KUJI	Kujira	$1,808.245	$1,137.08	-$671.16	-37.12%	FIN	2024-04-10
KUJI	Kujira	$42.484	$26.715	-$15.769	-37.12%	Wallet	2024-04-10
KUJI	Kujira	$8,949.097	$9,758.491	$809.393	9.04%	BLUE	2024-04-10
LOCAL	Kujira	$110.66	$140.703	$30.040	27.15%	FIN	2024-04-10
LUNA	Kujira	$417.55	$542.68	$125.13	29.97%	FIN	2024-04-10
LVN	Kujira	$89.30	$122.000	$32.702	36.62%	FIN	2024-04-10
MNTA	Kujira	$1,525.665	$2,324.85	$799.19	52.38%	FIN	2024-04-10
MNTA	Kujira	$13.668	$20.828	$7.160	52.38%	Wallet	2024-04-10
MNTA	Kujira	$645.742	$984.000	$338.258	52.38%	Manta DAO	2024-04-10
NTRN	Kujira	$196.26	$257.598	$61.338	31.25%	FIN	2024-04-10
stOSMO	Kujira	$46.82	$64.827	$18.003	38.45%	FIN	2024-04-10
gPAXG	Kujira	$113.11	$90.393	-$22.717	-20.08%	FIN	2024-04-10
PLNK	Kujira	$17.18	$18.404	$1.225	7.13%	Wallet	2024-04-10
SILK	Kujira	$18.08	$23.530	$5.448	30.13%	Wallet	2024-04-10
STARS	Kujira	$36.078	$31.50	-$4.58	-12.69%	FIN	2024-04-10
STARS	Kujira	$7.780	$6.793	-$0.987	-12.69%	Wallet	2024-04-10
stable	Kujira	$1,850.160	$1,662.75	-$187.41	-10.13%	FIN	2024-04-10
stable	Kujira	$78.661	$70.693	-$7.968	-10.13%	Ghost	2024-04-10
stable	Kujira	$0.000	-$2,365.050	-$2,365.050	0.00%	BLUE	2024-04-10
SNX	Optimism	$210.22	$325.75	$115.53	54.96%	Synthetix	2024-04-10
ETH	Optimism	$50.85	$375.28	$324.44	638.06%	Granary	2024-04-10
stable	Optimism	$7.00	$14.62	$7.62	108.90%	Granary	2024-04-10
GRAIN	Optimism	$0.00	$0.03	$0.03	0.00%	Granary	2024-04-10
ETH	Optimism	$4.71	$80.54	$75.84	1610.68%	Arbitrage	2024-04-10
LDO	Optimism	$31.12	$55.31	$24.19	77.73%	Arbitrage	2024-04-10
OP	Optimism	$80.58	$103.30	$22.71	28.19%	Arbitrage	2024-04-10
LUNA	Terra	$1,873.19	$2,159.81	$286.63	15.30%	Arbitrage	2024-04-10
WHALE	Migaloo	$135.00	$133.55	-$1.45	-1.08%	Wallet	2024-04-10
ROAR	Terra	$308.84	$523.84	$215.00	69.62%	Arbitrage	2024-04-10
stable	Terra	$0.00	$5.35	$5.35	0.00%	Wallet	2024-04-10
stable	TRON	$400.00	$485.52	$85.52	21.38%	Sun	2024-04-10
SUN	TRON	$140.00	$339.16	$199.16	142.26%	Sun	2024-04-10
TRX	TRON	$10.00	$30.53	$20.53	205.26%	Wallet	2024-04-10
