Blockaverse	portfolio	2024-03-10		
				
Token	Blockchain	invested	value	gain/loss
GMX	Arbitrum	$933.00	$669.05	-$263.95
GPL	Arbitrum	$1,885.00	$2,642.34	$757.34
ETH	Arbitrum	$10.00	$353.30	$343.30
sAVAX	Avalanche	$47,880.79	$70,709.65	$22,828.86
GMX	Avalanche	$3,644.11	$5,074.31	$1,430.20
GLP	Avalanche	$3,644.11	$5,483.47	$1,839.36
BTC	Cardano	$409.29	$851.41	$442.12
ETH	Cardano	$1,256.29	$2,781.55	$1,525.26
stable	Cardano	$2,079.73	$2,242.14	$162.41
ADA	Cardano	$446.92	$724.78	$277.86
SNEK	Cardano	$273.35	$573.32	$299.97
stable	Kujira	$2,377.02	$2,387.99	$10.97
ETH	Kujira	$4,096.32	$4,456.93	$360.60
wstETH	Kujira	$6,205.65	$7,044.99	$839.34
BTC	Kujira	$320.21	$0.00	-$320.21
KUJI	Kujira	$3,593.94	$4,650.67	$1,056.73
LUNA	Kujira	$1,066.71	$1,364.77	$298.06
NSTK	Kujira	$579.82	$655.75	$75.92
ASTRO	Kujira	$178.86	$249.81	$70.95
STARS	Kujira	$1,047.50	$1,309.25	$261.75
ROAR	Kujira	$347.03	$537.17	$190.14
FUZN	Kujira	$211.35	$225.34	$14.00
WINK	Kujira	$325.14	$744.97	$419.83
MNTA	Kujira	$1,065.95	$1,407.36	$341.42
ATOM	Kujira	$73.42	$318.31	$244.89
LP KUJI-ATOM	Kujira	$3.89	$15.019	$11.129
