symbol	reference	trade type	action	security	date sold	price sold	shares out	date bought	price bought	shares in	exit	portfolio	surcharge	fees	net δ	net δ $	ROI	APR
wETH	https://www.mintscan.io/osmosis/tx/6535A41E912A5C713841F536AF40D4E6835C7C27799103B66DD040F0ED53C456	LONG	manual	token	2023-10-01	$1,686.50	1.0792	2023-09-29	$1,668.68	1.0000	$1,800.79	Levana	$0.02		0.08	$151.32	8.40%	1533.58%
DOT	https://www.mintscan.io/osmosis/tx/28E6C6A05B9F77FED5E9046CA369AE3345381AE3B3D5E6E097A64D10391AB3C5	LONG	manual	token	2023-10-01	$4.20	5.4748	2023-09-29	$4.08	4.0000	$22.33	Levana	$0.01		1.47	$6.67	29.89%	5455.81%
wETH	https://www.mintscan.io/osmosis/tx/17C1A9585284A0F92A2CD1FC660EF389F190CB948E79AC11EB454D5881B2A286	LONG	manual	token	2023-10-01	$1,727.02	1.2124	2023-10-01	$1,683.80	1.0	$2,041.39	Levana	$0.02		0.2124	$409.98	20.08%	n/a
DOT	https://www.mintscan.io/osmosis/tx/28E6C6A05B9F77FED5E9046CA369AE3345381AE3B3D5E6E097A64D10391AB3C5	LONG	manual	token	2023-10-01	$4.27	5.8416	2023-10-01	$4.19	5.0	$24.47	Levana	$0.01		0.84	$3.99	16.31%	n/a
wBTC	https://explorer.nolus.io/pirin-1/tx/a67834faf76ff09f31e33412675c58241dd68827114855ff30c43bcc9c14c06d	LEASE	manual	token	2023-10-02	$28,300.54	0.0058	2023-09-09	$25,742.17	0.005804	$148.76	Nolus	$0.00		0.0000	$14.14	9.51%	150.84%
wETH	https://explorer.nolus.io/pirin-1/tx/f364279e8dff1fa43458078a6cf10236059e1586d104772e3ff7de428752948b	LEASE	manual	token	2023-10-02	$1,730.66	0.1020	2023-09-17	$1,635.90	0.1024	$166.86	Nolus	$0.00		-0.0004	$9.09	5.45%	132.52%
wETH	https://www.mintscan.io/osmosis/tx/CBC20065890CAC412CF2DB99455C5E147DFC7D5766CAA8E17F44EB22301ABD5D	SHORT	manual	token	2023-10-05	$1,614.66	0.5213	2023-09-18	$1,630.12	0.5	$849.72	Levana	$0.02	$6.00	0.0213	$46.86	5.51%	118.40%
wETH	https://www.mintscan.io/osmosis/tx/B42129B54D16227853B922A2639094EF09BED41228F9955F84A46C735B101BDE	LONG	manual	token	2023-10-06	$1,648.50	0.8438	2023-10-05	$1,622.34	0.7336	$1,368.89	Levana	$0.02		0.1102	$200.80	14.67%	5354.01%
DOT	https://www.mintscan.io/osmosis/tx/F06E398748AC6AD1DB7948FA23A3307D181D1C03AF616ED6F52B7692504C358F	SHORT	manual	token	2023-10-09	$3.86	9.6242	2023-09-29	$4.08	6.0	$39.25	Levana	$0.02		3.6242	$12.67	32.27%	1177.93%
wETH	https://www.mintscan.io/osmosis/tx/D45A641D7C35FFEB13CA47D217C3737E02118B912E520B2A500020F6657FF2A4	SHORT	manual	token	2023-10-09	$1,591.59	0.5715	2023-09-18	$1,647.74	0.5	$941.64	Levana	$0.02		0.0715	$85.67	9.10%	158.13%
ATOM	https://www.mintscan.io/osmosis/tx/2BC31C2FDC4D85292F57554BE5BDDDF0F52534D7677D599C8F3BA9A9F7423324	LONG	manual	token	2023-10-10	$7.30	12.7063	2023-10-09	$6.74	10.0	$85.64	Levana	$0.01		2.7063	$25.35	29.60%	10803.69%
DOT	https://www.mintscan.io/osmosis/tx/CC685751A5E90C8939722C9E3CAEA20B7FA461B4B571211B44017712E738CFC3	SHORT	manual	token	2023-10-10	$3.75	12.0443	2023-10-10	$3.80	10.0	$45.77	Levana	$0.01		2.0443	$7.16	15.64%	n/a
ATOM	https://www.mintscan.io/osmosis/tx/72A1B3DF10D9A7DE73A9F39646F5F82106EEE11B643CFC7F98F69965F9867121?height=11862166	SHORT	manual	token	2023-10-12	$6.48	3.2847	2023-09-18	$6.98	2.5	$22.92	Levana	$0.01		0.7847	$3.83	16.73%	254.37%
GBP	https://www.mintscan.io/osmosis/tx/5A2FC404C8ECB514A6CC78E6C9991F0F126A46170FA2439BB9EABFF036D8098E	SHORT	manual	FOREX	2023-10-12	$1.22320	55.5912	2023-10-10	$1.23	50.00	$68.32	Levana	$0.01		5.5912	$6.54	9.57%	1746.49%
EUR	https://www.mintscan.io/osmosis/tx/A7EDD81B8706A64463DEEBAC7B21A315835E8B073AB2668A0475E296F4C3E149	SHORT	manual	FOREX	2023-10-12	$1.05589	59.7142	2023-10-10	$1.06	50.00	$63.35	Levana	$0.01		9.7142	$9.99	15.77%	2877.77%
GBP	https://www.mintscan.io/osmosis/tx/80D4AA962A87223362F6D42342A282843F5E64FA81FA02208340C6F98DC27115	SHORT	manual	FOREX	2023-10-12	$1.21817	56.8049	2023-10-12	$1.2227	50.00	$69.45	Levana	$0.01		6.8049	$8.05	11.59%	n/a
ATOM	https://www.mintscan.io/osmosis/tx/366F1C79EA8FA0A761E0CB8D01EBEFAEFD9FAA96B50C66E083ABF41BE80FBEEE	LONG	manual	token	2023-10-12	$6.58	11.6139	2023-10-10	$6.490	10.0	$75.37	Levana	$0.01		1.6139	$11.51	15.27%	2787.46%
EUR	https://www.mintscan.io/osmosis/tx/F6A932C6DFEE713EBA9F3B009A7C76534FB3F92058F6A0F7372C5399466C3E68	SHORT	manual	FOREX	2023-10-13	$1.0512	58.1667	2023-10-10	$1.0551	50.00	$61.37	Levana	$0.01		8.1667	$8.37	13.65%	1660.18%
GBP	https://www.mintscan.io/osmosis/tx/689C3A932A986C76C35B4F450954EBA45EC16EE15210FDFCA7C882616D7B704E	SHORT	manual	FOREX	2023-10-13	$1.2136	61.3970	2023-10-12	$1.2181	50.00	$74.79	Levana	$0.01		11.3970	$13.59	18.18%	6634.16%
ATOM	https://www.mintscan.io/osmosis/tx/6DDB8A240C6F2866A334E587E4003740CEE9571A5FC88D6A4C73134DB1D438AF	SHORT	manual	token	2023-10-13	$6.51	11.4437	2023-10-12	$6.603	10.0	$75.56	Levana	$0.01		1.4437	$8.51	11.26%	4110.48%
wETH	https://www.mintscan.io/osmosis/tx/FDA971437FF52BF7AC8E5149A07D43B47832749761676B85A090DBBD08218685?height=11883309	LONG	manual	token	2023-10-13	$1,570.46	0.5591	2023-10-12	$1,546.19	0.5000	$864.52	Levana	$0.01		0.0591	$104.99	12.14%	4432.48%
ATOM	https://www.mintscan.io/osmosis/tx/AA90B10B4005FC44C9F8350740E2400A4CC04047F0057E75FB088C8DE6B59E5E?height=11918707	LONG	manual	token	2023-10-16	$6.68	11.1012	2023-10-12	$6.496	10.0000	$72.11	Levana	$0.01		1.1012	$9.18	12.73%	1161.96%
BNB	https://www.mintscan.io/osmosis/tx/96126689619932BF0300CEC7EFCEB5FB34FA54146037D9739F53D7108301D0EB	LONG	manual	token	2023-10-16	$212.58	57.3626	2023-10-15	$208.970	50.0	$57.36	Levana	$0.01		7.3626	$7.35	12.81%	4676.58%
DOT		LONG	take-profit	token	2023-10-16	$3.87	12.3992	2023-10-10	$3.758	10.0	$46.60	Levana	$0.01		2.3992	$10.40	22.31%	1357.48%
EUR	https://www.mintscan.io/osmosis/tx/1BF4FBF4664BFAAEB166DCD9B780471A013D9FFF7BB79984BCD0EDF0AAF74D46	LONG	manual	FOREX	2023-10-16	$1.06	58.2200	2023-10-13	$1.0502	50.00	$61.14	Levana	$0.01		8.2200	$8.95	14.63%	1780.02%
GBP	https://www.mintscan.io/osmosis/tx/420078A2A3B8485B58C2D195A46DB627AAFF1423BFABAEFB5539FFC377B22997	LONG	manual	FOREX	2023-10-16	$1.22	51.5000	2023-10-13	$1.2134	43.29	$62.49	Levana	$0.01		8.2100	$10.36	16.58%	2017.83%
wETH		LONG	take-profit	token	2023-10-16	$1,624.00	0.5990	2023-10-10	$1,565.92	0.5000	$938.04	Levana	$0.01		0.0990	$189.86	20.24%	1231.28%
BNB	https://www.mintscan.io/osmosis/tx/DCA4F782BE3861C6DEC35CDEEFADC71143DBC43485C74010571010B9B70ADB2E	LONG	manual	token	2023-10-16	$215.21	55.1000	2023-10-16	$212.898	50.0	$55.10	Levana	$0.01		5.1000	$5.09	9.23%	n/a
DOT	https://www.mintscan.io/osmosis/tx/B486684D585383609EE59133B33609CD22FE7A61E519AD91A4F43B23E65C7417	SHORT	manual	token	2023-10-17	$3.7405	11.1326	2023-10-16	$3.785	10.0	$42.14	Levana	$0.01		1.1326	$3.78	8.97%	3272.70%
ATOM	https://www.mintscan.io/osmosis/tx/93EB9E867589A76B7D13BBE2143EF6FDAD794D4504B5BA22C41A9E874D70066A	SHORT	manual	token	2023-10-17	$6.4636	11.0912	2023-10-13	$6.532	10.0	$72.45	Levana	$0.01		1.0912	$6.35	8.77%	800.00%
BNB	https://www.mintscan.io/osmosis/tx/B58284F6B9C7A2D085F38EE51181B7C155448CEC6F0D2B2286FD90DDB6B10A21	SHORT	manual	token	2023-10-17	$212.22	55.7300	2023-10-16	$215.125	50.0	$55.73	Levana	$0.01		5.7300	$5.72	10.26%	3744.26%
DOT	https://www.mintscan.io/osmosis/tx/03D0F082A2E4E4F575FE34EDFF1876DA44C183D422C1A8DAA78E035249FB2882	SHORT	manual	token	2023-10-17	$3.705	11.0576	2023-10-17	$3.745	10.0	$41.41	Levana	$0.01		1.0576	$3.51	8.47%	n/a
ATOM	https://www.mintscan.io/osmosis/tx/AA1B25EF51DC50CA25B4AF67E305D21AAC62F8AE0392C1AF70C71FDACBBCE2C1	SHORT	manual	token	2023-10-17	$6.38	11.62986	2023-10-17	$6.455	10.0	$75.07	Levana	$0.01		1.6299	$9.64	12.84%	n/a
ATOM	https://www.mintscan.io/osmosis/tx/6278DEA840320D34EB7913F352E21DCE35A8C314CC2C736612AB57A30EFCE46F	SHORT	manual	token	2023-10-18	$6.35	11.442513	2023-10-18	$6.443	10.0	$73.73	Levana	$0.01		1.4425	$8.21	11.14%	n/a
GBP	https://www.mintscan.io/osmosis/tx/36B4449173DC92FD27B22BD4B84982F66F10695261646A85BD497081E808136C	SHORT	manual	FOREX	2023-10-18	$1.21	56.72	2023-10-13	$1.2140	50.00	$56.72	Levana	$0.01		6.7200	$6.71	11.82%	863.22%
ATOM	https://www.mintscan.io/osmosis/tx/D9429162BFFC4435B84D85FEE014910BC5D34074E048A2CDC11FB63A8749E7E4	SHORT	manual	token	2023-10-18	$6.28	11.018469	2023-10-18	$6.338	10.0	$69.84	Levana	$0.01		1.0185	$5.76	8.25%	n/a
BNB	https://www.mintscan.io/osmosis/tx/30841372C89FBF9BC5CFB35A9FDECCE36EBDF55B8476976F2C6CCEBBF7CC256E	SHORT	manual	token	2023-10-18	$209.18	55.751489	2023-10-17	$212.402	50.0	$55.75	Levana	$0.01		5.7515	$5.74	10.29%	3757.16%
DOT	https://www.mintscan.io/osmosis/tx/4CD290E2F36FF97025AB2D0EEC3FDF2B80A4D794C6DEA0C4DC85B581B0A96173	SHORT	manual	token	2023-10-18	$3.61	11.84517298	2023-10-17	$3.745	10.0	$44.36	Levana	$0.01		1.8452	$5.33	12.01%	4384.98%
wETH	https://www.mintscan.io/osmosis/txs/FA638BCC08FE79A7EE1EEAA4D506E5651A0C59E0751CE27FCA1E2874B36423BA	SHORT	manual	token	2023-10-18	$1,550.06	0.5599820836	2023-10-12	$1,527.35	0.356	$855.29	Levana	$0.01		0.2036	$323.67	37.84%	2302.17%
GBP	https://www.mintscan.io/osmosis/tx/29F8E0CEC1314B3FAAB6D69258601EA65DBE60032E58CE0406A091BBE3F5527F	SHORT	manual	FOREX	2023-10-18	$1.2124	55.088313	2023-10-18	$1.2141	50.00	$55.09	Levana	$0.01		5.0883	$5.08	9.21%	n/a
EUR	https://www.mintscan.io/osmosis/tx/2F7026B7DEFFF32D880A67277F56D6954D2F30E613C6D932324ED70BB6E570BC	LONG	manual	FOREX	2023-10-19	$1.0574	56.92	2023-10-19	$1.0533	50.00	$56.92	Levana	$0.01		6.9200	$6.91	12.15%	n/a
wBTC	https://explorer.nolus.io/pirin-1/tx/f9f4c5c582da2d5e60e9d0d60795fbc482b12f8981a5cd4dc2e16aea5a42227d	LEASE	manual	token	2023-10-19	$28,553.81	0.01805131	2023-10-09	$27,698.00	0.018051	$515.43	Nolus	$0.00		0.0000	$15.46	3.00%	109.45%
