date,LSD,blockchain,exchange rate,burn url,burn rate,
2023-07-04,rATOM,StaFiHub,1.4006,https://app.stafihub.io/rToken/rATOM/dashboard,22,
2023-07-04,sAVAX,Avalanche,1.0916,https://staking.benqi.fi/stake,15,
2023-07-04,sFTMX,Fantom Opera,1.092,https://www.staderlabs.com/fantom/,7,
2023-08-13,ampLUNA,Terra,1.2119,https://www.erisprotocol.com/terra/amplifier,24,
2023-08-13,ampWHALE,Migaloo,1.0448,https://www.erisprotocol.com/migaloo/amplifier,21,
2023-08-13,ampKUJI,Kujira,1.0075,https://www.erisprotocol.com/kujira/amplifier,14,
2023-07-04,boneLUNA,Terra,1.068932,https://terra.gravedigger.zone/,24,
2023-07-04,LunaX,Terra,1.192937,https://www.staderlabs.com/terra/lt-pools/,24,
2023-07-04,stATOM,Stride,1.0,https://app.stride.zone/,24,
2023-07-04,stCMDX,Stride,1.0,https://app.stride.zone/,24,
2023-07-04,stEVMOS,Stride,1.0,https://app.stride.zone/,17,
2023-07-04,stINJ,Stride,1.0,https://app.stride.zone/,24,
2023-07-04,stJUNO,Stride,1.0,https://app.stride.zone/,33,
2023-07-04,stLUNA,Stride,1.0,https://app.stride.zone/,24,
2023-07-04,stOSMO,Stride,1.0,https://app.stride.zone/,17,
2023-07-04,stSTARS,Stride,1.0,https://app.stride.zone/,17,
2023-09-14,stSOMM,Stride,1.0,https://app.stride.zone/,28,
2023-07-04,stUMEE,Stride,1.0,https://app.stride.zone/,17,
